Event Name,494_bus.mtx.crs,494_bus_gauss_0p01_0p01_nonzero.mtx.crs,494_bus_gauss_0p01_0p05_nonzero.mtx.crs,494_bus_gauss_0p01_0p10_nonzero.mtx.crs,494_bus_gauss_0p05_0p01_nonzero.mtx.crs,494_bus_gauss_0p05_0p05_nonzero.mtx.crs,494_bus_gauss_0p05_0p10_nonzero.mtx.crs,494_bus_gauss_0p10_0p01_nonzero.mtx.crs,494_bus_gauss_0p10_0p05_nonzero.mtx.crs,494_bus_gauss_0p10_0p10_nonzero.mtx.crs
PARTIAL_RAT_STALLS.SCOREBOARD,308929,327814,359865,311182,327745,348924,342948,305735,317724,383429
UOPS_ISSUED.STALL_CYCLES,3871521,3260455,3294888,3465814,3210008,3914999,3230196,3567657,3520734,3435448
BR_INST_RETIRED.COND_NTAKEN,3368058,3363285,3369965,3374498,3364773,3370222,3373621,3367630,3373530,3374602
UOPS_EXECUTED.CORE_CYCLES_GE_3,12192870,12086311,12090542,12003073,12075237,12018924,12086386,11992033,12009845,12128061
UOPS_EXECUTED.CORE_CYCLES_GE_1,21250878,20736680,20777201,20904678,20688702,21109704,20788512,20967859,21011048,21017221
UOPS_EXECUTED.CORE_CYCLES_GE_4,8944442,6486160,6524015,6525862,6541019,6564819,6582361,6428776,6416319,6375419
CPU_CLK_UNHALTED.REF_TSC,67461487,15945711,15333088,15781454,14909622,14790683,15121189,15911930,15288932,15072136
BR_MISP_RETIRED.ALL_BRANCHES,43070,42005,45046,46468,42421,38675,41318,54637,47015,49191
OTHER_ASSISTS.ANY,110,97,100,97,95,98,99,97,98,99
UOPS_RETIRED.STALL_CYCLES,5563001,5777575,5570434,5394679,5607533,5780073,5323235,5842372,5493652,5642591
LSD.UOPS,0,0,0,0,0,0,0,0,0,0
CPU_CLK_THREAD_UNHALTED.ONE_THREAD_ACTIVE,342712,200970,189681,178616,181842,184998,186328,186727,187260,179365
ILD_STALL.LCP,18463,18691,18692,18893,18684,18941,18754,19024,18813,18908
RS_EVENTS.EMPTY_END,58360,56887,63572,63108,54651,60717,54511,56240,57614,57399
CYCLE_ACTIVITY.CYCLES_MEM_ANY,22033290,22129332,22389064,21933272,22090209,22088205,22099875,22011948,21988815,21904904
BR_INST_RETIRED.NEAR_TAKEN,3425093,3424596,3429625,3432691,3426333,3429637,3434971,3431482,3430186,3433354
LD_BLOCKS.NO_SR,0,0,0,0,0,0,0,0,0,0
UOPS_ISSUED.ANY,60740428,61136954,60700602,61596828,61038693,60968691,61708928,61273468,60646777,61357014
CPU_CLK_UNHALTED.THREAD,23444248,23622775,23485535,23905079,25230551,24100600,24643515,24425655,23951262,24555584
CPU_CLK_UNHALTED.REF_XCLK_ANY,375136,170667,171929,170949,178513,182585,177376,195860,185862,189241
BR_INST_RETIRED.NEAR_CALL,124883,123725,123962,124947,123703,123460,125344,124490,123711,124276
ROB_MISC_EVENTS.PAUSE_INST,5,2,3,2,4,3,2,16,12,2
RESOURCE_STALLS.ANY,810727,627879,553359,587973,799594,794396,2486302,2779245,680020,962392
MACHINE_CLEARS.SMC,0,0,0,0,0,5,0,0,22,0
CYCLE_ACTIVITY.STALLS_L2_MISS,284575,272090,230571,277799,351161,388198,356306,449328,350431,422802
CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE,437358,167029,178719,173476,168266,172492,167129,172679,180851,200934
UOPS_EXECUTED.CYCLES_GE_4_UOPS_EXEC,6455952,6424952,6318615,6494941,6487791,6485686,6513221,6482330,6489855,6429193
BR_MISP_RETIRED.NEAR_TAKEN,26023,27790,26979,26669,21653,31051,24627,22619,28764,25996
CYCLE_ACTIVITY.STALLS_MEM_ANY,1552999,1705891,2540673,1700174,1898218,1761935,1619014,1643071,1655931,2764873
EXE_ACTIVITY.EXE_BOUND_0_PORTS,278385,268097,282479,299995,248025,298222,263355,264752,282695,255205
INST_RETIRED.TOTAL_CYCLES_PS,23515400,23489444,23873118,23878106,23843832,23724656,23684572,23568187,23630888,23592834
UOPS_RETIRED.RETIRE_SLOTS,59074499,59070461,59093795,59158128,59075830,59119976,59292503,59114467,59138285,59197549
CPU_CLK_UNHALTED.THREAD_P_ANY,23515333,23489310,23872984,23877972,23843765,23724656,23684304,23568120,23630888,23592633
UOPS_ISSUED.VECTOR_WIDTH_MISMATCH,0,0,0,0,0,0,0,0,0,0
UOPS_RETIRED.MACRO_FUSED,6245493,6242715,6249237,6262083,6245173,6254796,6260275,6253592,6254114,6257995
ROB_MISC_EVENTS.LBR_INSERTS,0,0,0,0,0,0,0,0,0,0
RS_EVENTS.EMPTY_CYCLES,962683,887599,925743,891059,961694,948925,995010,952191,955490,867585
INST_RETIRED.ANY,44646290,44621578,44668466,44713702,44670150,44655460,44729482,44654635,44663039,44746758
UOPS_EXECUTED.CORE_CYCLES_GE_2,17166048,17100829,17083409,17110580,17234128,17167458,17194935,17232810,17166945,17150294
RESOURCE_STALLS.SB,216945,228800,227466,217764,217809,214568,217800,237333,219482,219603
CPU_CLK_UNHALTED.RING0_TRANS,4,2,6,8,1,1,4,2,0,1
BR_INST_RETIRED.ALL_BRANCHES_PEBS,6788746,6789400,6800153,6819257,6796117,6797532,6809490,6789921,6817752,6808192
BR_MISP_RETIRED.ALL_BRANCHES_PEBS,49742,55863,53027,47759,41486,47718,43877,52394,42065,42075
BR_INST_RETIRED.NEAR_RETURN,123576,123420,123948,124931,124355,123586,123994,123525,125892,123892
EXE_ACTIVITY.1_PORTS_UTIL,3614255,3923385,3672660,3853846,3610343,3769765,3679831,3702973,3813879,3817265
BR_INST_RETIRED.NOT_TAKEN,3369691,3372042,3373482,3384762,3364940,3374364,3382167,3370574,3369259,3375301
BR_INST_RETIRED.CONDITIONAL,6415382,6418859,6422357,6440065,6407428,6423424,6436191,6416829,6414896,6425224
BR_MISP_RETIRED.CONDITIONAL,46079,36516,37800,47354,41231,40126,42010,44984,45948,33918
UOPS_EXECUTED.CORE,59013785,58905503,58958599,59171061,59065809,59332862,59095366,58886421,58891694,58746683
CYCLE_ACTIVITY.STALLS_L1D_MISS,295736,374112,310686,392147,534761,408024,474356,418184,358613,467407
EXE_ACTIVITY.2_PORTS_UTIL,5353575,4990197,5088948,5161966,5659933,5190376,5213060,5053438,5211290,5136588
INT_MISC.CLEAR_RESTEER_CYCLES,348378,310970,377750,356962,304844,328056,370964,426569,463858,306957
BR_INST_RETIRED.ALL_BRANCHES,6795410,6790668,6799180,6811916,6792275,6803954,6822295,6788162,6805336,6806635
UOPS_EXECUTED.CYCLES_GE_1_UOP_EXEC,21408034,20760696,20722790,21099828,20902238,20782752,21165256,20831490,20834809,20877758
CYCLE_ACTIVITY.CYCLES_L2_MISS,562719,368048,319392,583739,386821,456877,533884,497387,423130,407917
