EventName,EventAlias,EventType,Unit,Topic,Encoding,ScaleUnit,BriefDescription,PublicDescription
l1d_pend_miss.pending_cycles,,Kernel PMU event,cpu,cache,"cpu/event=0x48,cmask=0x1,period=0x1e8483,umask=0x1/",,Cycles with L1D load Misses outstanding,Cycles with L1D load Misses outstanding
l1d_pend_miss.pending_cycles_any,,Kernel PMU event,cpu,cache,"cpu/event=0x48,any=0x1,cmask=0x1,period=0x1e8483,umask=0x1/",,Cycles with L1D load Misses outstanding from any thread on physical core,Cycles with L1D load Misses outstanding from any thread on physical core
l1d_pend_miss.request_fb_full,,Kernel PMU event,cpu,cache,"cpu/event=0x48,period=0x1e8483,umask=0x2/",,"Number of times a request needed a FB entry but there was no entry available for it. That is the FB unavailability was dominant reason for blocking the request. A request includes cacheable/uncacheable demands that is load, store or SW prefetch. HWP are e","Number of times a request needed a FB entry but there was no entry available for it. That is the FB unavailability was dominant reason for blocking the request. A request includes cacheable/uncacheable demands that is load, store or SW prefetch. HWP are e"
l2_demand_rqsts.wb_hit,,Kernel PMU event,cpu,cache,"cpu/event=0x27,period=0x30d43,umask=0x50/",,Not rejected writebacks that hit L2 cache,Not rejected writebacks that hit L2 cache
l2_lines_in.all,,Kernel PMU event,cpu,cache,"cpu/event=0xf1,period=0x186a3,umask=0x7/",,L2 cache lines filling L2,This event counts the number of L2 cache lines brought into the L2 cache.  Lines are filled into the L2 cache when there was an L2 miss
l2_lines_in.e,,Kernel PMU event,cpu,cache,"cpu/event=0xf1,period=0x186a3,umask=0x4/",,L2 cache lines in E state filling L2,L2 cache lines in E state filling L2
l2_lines_in.i,,Kernel PMU event,cpu,cache,"cpu/event=0xf1,period=0x186a3,umask=0x1/",,L2 cache lines in I state filling L2,L2 cache lines in I state filling L2
l2_lines_in.s,,Kernel PMU event,cpu,cache,"cpu/event=0xf1,period=0x186a3,umask=0x2/",,L2 cache lines in S state filling L2,L2 cache lines in S state filling L2
l2_lines_out.demand_clean,,Kernel PMU event,cpu,cache,"cpu/event=0xf2,period=0x186a3,umask=0x5/",,Clean L2 cache lines evicted by demand,Clean L2 cache lines evicted by demand
l2_lines_out.demand_dirty,,Kernel PMU event,cpu,cache,"cpu/event=0xf2,period=0x186a3,umask=0x6/",,Dirty L2 cache lines evicted by demand,Dirty L2 cache lines evicted by demand
l2_rqsts.all_code_rd,,Kernel PMU event,cpu,cache,"cpu/event=0x24,period=0x30d43,umask=0xe4/",,L2 code requests,Counts all L2 code requests
l2_rqsts.all_demand_data_rd,,Kernel PMU event,cpu,cache,"cpu/event=0x24,period=0x30d43,umask=0xe1/",,"Demand Data Read requests  Spec update: HSD78, HSM80","Counts any demand and L1 HW prefetch data load requests to L2  Spec update: HSD78, HSM80"
l2_rqsts.all_demand_miss,,Kernel PMU event,cpu,cache,"cpu/event=0x24,period=0x30d43,umask=0x27/",,"Demand requests that miss L2 cache  Spec update: HSD78, HSM80","Demand requests that miss L2 cache  Spec update: HSD78, HSM80"
l2_rqsts.all_demand_references,,Kernel PMU event,cpu,cache,"cpu/event=0x24,period=0x30d43,umask=0xe7/",,"Demand requests to L2 cache  Spec update: HSD78, HSM80","Demand requests to L2 cache  Spec update: HSD78, HSM80"
l2_rqsts.all_pf,,Kernel PMU event,cpu,cache,"cpu/event=0x24,period=0x30d43,umask=0xf8/",,Requests from L2 hardware prefetchers,Counts all L2 HW prefetcher requests
l2_rqsts.all_rfo,,Kernel PMU event,cpu,cache,"cpu/event=0x24,period=0x30d43,umask=0xe2/",,RFO requests to L2 cache,Counts all L2 store RFO requests
l2_rqsts.code_rd_hit,,Kernel PMU event,cpu,cache,"cpu/event=0x24,period=0x30d43,umask=0xc4/",,"L2 cache hits when fetching instructions, code reads",Number of instruction fetches that hit the L2 cache
l2_rqsts.code_rd_miss,,Kernel PMU event,cpu,cache,"cpu/event=0x24,period=0x30d43,umask=0x24/",,L2 cache misses when fetching instructions,Number of instruction fetches that missed the L2 cache
l2_rqsts.demand_data_rd_hit,,Kernel PMU event,cpu,cache,"cpu/event=0x24,period=0x30d43,umask=0xc1/",,"Demand Data Read requests that hit L2 cache  Spec update: HSD78, HSM80","Counts the number of demand Data Read requests, initiated by load instructions, that hit L2 cache  Spec update: HSD78, HSM80"
l2_rqsts.demand_data_rd_miss,,Kernel PMU event,cpu,cache,"cpu/event=0x24,period=0x30d43,umask=0x21/",,"Demand Data Read miss L2, no rejects  Spec update: HSD78, HSM80","Demand data read requests that missed L2, no rejects  Spec update: HSD78, HSM80"
l2_rqsts.l2_pf_hit,,Kernel PMU event,cpu,cache,"cpu/event=0x24,period=0x30d43,umask=0xd0/",,L2 prefetch requests that hit L2 cache,Counts all L2 HW prefetcher requests that hit L2
l2_rqsts.l2_pf_miss,,Kernel PMU event,cpu,cache,"cpu/event=0x24,period=0x30d43,umask=0x30/",,L2 prefetch requests that miss L2 cache,Counts all L2 HW prefetcher requests that missed L2
l2_rqsts.miss,,Kernel PMU event,cpu,cache,"cpu/event=0x24,period=0x30d43,umask=0x3f/",,"All requests that miss L2 cache  Spec update: HSD78, HSM80","All requests that missed L2  Spec update: HSD78, HSM80"
l2_rqsts.references,,Kernel PMU event,cpu,cache,"cpu/event=0x24,period=0x30d43,umask=0xff/",,"All L2 requests  Spec update: HSD78, HSM80","All requests to L2 cache  Spec update: HSD78, HSM80"
l2_rqsts.rfo_hit,,Kernel PMU event,cpu,cache,"cpu/event=0x24,period=0x30d43,umask=0xc2/",,RFO requests that hit L2 cache,Counts the number of store RFO requests that hit the L2 cache
l2_rqsts.rfo_miss,,Kernel PMU event,cpu,cache,"cpu/event=0x24,period=0x30d43,umask=0x22/",,RFO requests that miss L2 cache,Counts the number of store RFO requests that miss the L2 cache
l2_trans.all_pf,,Kernel PMU event,cpu,cache,"cpu/event=0xf0,period=0x30d43,umask=0x8/",,L2 or L3 HW prefetches that access L2 cache,"Any MLC or L3 HW prefetch accessing L2, including rejects"
l2_trans.all_requests,,Kernel PMU event,cpu,cache,"cpu/event=0xf0,period=0x30d43,umask=0x80/",,Transactions accessing L2 pipe,Transactions accessing L2 pipe
l2_trans.code_rd,,Kernel PMU event,cpu,cache,"cpu/event=0xf0,period=0x30d43,umask=0x4/",,L2 cache accesses when fetching instructions,L2 cache accesses when fetching instructions
l2_trans.demand_data_rd,,Kernel PMU event,cpu,cache,"cpu/event=0xf0,period=0x30d43,umask=0x1/",,Demand Data Read requests that access L2 cache,Demand data read requests that access L2 cache
l2_trans.l1d_wb,,Kernel PMU event,cpu,cache,"cpu/event=0xf0,period=0x30d43,umask=0x10/",,L1D writebacks that access L2 cache,L1D writebacks that access L2 cache
l2_trans.l2_fill,,Kernel PMU event,cpu,cache,"cpu/event=0xf0,period=0x30d43,umask=0x20/",,L2 fill requests that access L2 cache,L2 fill requests that access L2 cache
l2_trans.l2_wb,,Kernel PMU event,cpu,cache,"cpu/event=0xf0,period=0x30d43,umask=0x40/",,L2 writebacks that access L2 cache,L2 writebacks that access L2 cache
l2_trans.rfo,,Kernel PMU event,cpu,cache,"cpu/event=0xf0,period=0x30d43,umask=0x2/",,RFO requests that access L2 cache,RFO requests that access L2 cache
lock_cycles.cache_lock_duration,,Kernel PMU event,cpu,cache,"cpu/event=0x63,period=0x1e8483,umask=0x2/",,Cycles when L1D is locked,Cycles in which the L1D is locked
longest_lat_cache.miss,,Kernel PMU event,cpu,cache,"cpu/event=0x2e,period=0x186a3,umask=0x41/",,Core-originated cacheable demand requests missed L3,This event counts each cache miss condition for references to the last level cache
longest_lat_cache.reference,,Kernel PMU event,cpu,cache,"cpu/event=0x2e,period=0x186a3,umask=0x4f/",,Core-originated cacheable demand requests that refer to L3,This event counts requests originating from the core that reference a cache line in the last level cache
mem_load_uops_l3_hit_retired.xsnp_hit,,Kernel PMU event,cpu,cache,"cpu/event=0xd2,period=0x4e2b,umask=0x2/",,"Retired load uops which data sources were L3 and cross-core snoop hits in on-pkg core cache  Supports address when precise.  Spec update: HSD29, HSD25, HSM26, HSM30 (Precise event)","Retired load uops which data sources were L3 and cross-core snoop hits in on-pkg core cache  Supports address when precise.  Spec update: HSD29, HSD25, HSM26, HSM30 (Precise event)"
mem_load_uops_l3_hit_retired.xsnp_hitm,,Kernel PMU event,cpu,cache,"cpu/event=0xd2,period=0x4e2b,umask=0x4/",,"Retired load uops which data sources were HitM responses from shared L3  Supports address when precise.  Spec update: HSD29, HSD25, HSM26, HSM30 (Precise event)","Retired load uops which data sources were HitM responses from shared L3  Supports address when precise.  Spec update: HSD29, HSD25, HSM26, HSM30 (Precise event)"
mem_load_uops_l3_hit_retired.xsnp_miss,,Kernel PMU event,cpu,cache,"cpu/event=0xd2,period=0x4e2b,umask=0x1/",,"Retired load uops which data sources were L3 hit and cross-core snoop missed in on-pkg core cache  Supports address when precise.  Spec update: HSD29, HSD25, HSM26, HSM30 (Precise event)","Retired load uops which data sources were L3 hit and cross-core snoop missed in on-pkg core cache  Supports address when precise.  Spec update: HSD29, HSD25, HSM26, HSM30 (Precise event)"
mem_load_uops_l3_hit_retired.xsnp_none,,Kernel PMU event,cpu,cache,"cpu/event=0xd2,period=0x186a3,umask=0x8/",,"Retired load uops which data sources were hits in L3 without snoops required  Supports address when precise.  Spec update: HSD74, HSD29, HSD25, HSM26, HSM30 (Precise event)","Retired load uops which data sources were hits in L3 without snoops required  Supports address when precise.  Spec update: HSD74, HSD29, HSD25, HSM26, HSM30 (Precise event)"
mem_load_uops_l3_miss_retired.local_dram,,Kernel PMU event,cpu,cache,"cpu/event=0xd3,period=0x186a3,umask=0x1/",,"Data from local DRAM either Snoop not needed or Snoop Miss (RspI)  Supports address when precise.  Spec update: HSD74, HSD29, HSD25, HSM30 (Precise event)","This event counts retired load uops where the data came from local DRAM. This does not include hardware prefetches  Supports address when precise.  Spec update: HSD74, HSD29, HSD25, HSM30 (Precise event)"
mem_load_uops_l3_miss_retired.remote_dram,,Kernel PMU event,cpu,cache,"cpu/event=0xd3,period=0x186a3,umask=0x4/",,"Retired load uop whose Data Source was: remote DRAM either Snoop not needed or Snoop Miss (RspI)  Supports address when precise.  Spec update: HSD29, HSM30 (Precise event)","Retired load uop whose Data Source was: remote DRAM either Snoop not needed or Snoop Miss (RspI)  Supports address when precise.  Spec update: HSD29, HSM30 (Precise event)"
mem_load_uops_l3_miss_retired.remote_fwd,,Kernel PMU event,cpu,cache,"cpu/event=0xd3,period=0x186a3,umask=0x20/",,Retired load uop whose Data Source was: forwarded from remote cache  Supports address when precise.  Spec update: HSM30 (Precise event),Retired load uop whose Data Source was: forwarded from remote cache  Supports address when precise.  Spec update: HSM30 (Precise event)
mem_load_uops_l3_miss_retired.remote_hitm,,Kernel PMU event,cpu,cache,"cpu/event=0xd3,period=0x186a3,umask=0x10/",,Retired load uop whose Data Source was: Remote cache HITM  Supports address when precise.  Spec update: HSM30 (Precise event),Retired load uop whose Data Source was: Remote cache HITM  Supports address when precise.  Spec update: HSM30 (Precise event)
mem_load_uops_retired.hit_lfb,,Kernel PMU event,cpu,cache,"cpu/event=0xd1,period=0x186a3,umask=0x40/",,Retired load uops which data sources were load uops missed L1 but hit FB due to preceding miss to the same cache line with data not ready  Supports address when precise.  Spec update: HSM30 (Precise event),Retired load uops which data sources were load uops missed L1 but hit FB due to preceding miss to the same cache line with data not ready  Supports address when precise.  Spec update: HSM30 (Precise event)
mem_load_uops_retired.l1_hit,,Kernel PMU event,cpu,cache,"cpu/event=0xd1,period=0x1e8483,umask=0x1/",,"Retired load uops with L1 cache hits as data sources  Supports address when precise.  Spec update: HSD29, HSM30 (Precise event)","Retired load uops with L1 cache hits as data sources  Supports address when precise.  Spec update: HSD29, HSM30 (Precise event)"
mem_load_uops_retired.l1_miss,,Kernel PMU event,cpu,cache,"cpu/event=0xd1,period=0x186a3,umask=0x8/",,Retired load uops misses in L1 cache as data sources  Supports address when precise.  Spec update: HSM30 (Precise event),Retired load uops missed L1 cache as data sources  Supports address when precise.  Spec update: HSM30 (Precise event)
mem_load_uops_retired.l2_hit,,Kernel PMU event,cpu,cache,"cpu/event=0xd1,period=0x186a3,umask=0x2/",,"Retired load uops with L2 cache hits as data sources  Supports address when precise.  Spec update: HSD76, HSD29, HSM30 (Precise event)","Retired load uops with L2 cache hits as data sources  Supports address when precise.  Spec update: HSD76, HSD29, HSM30 (Precise event)"
mem_load_uops_retired.l2_miss,,Kernel PMU event,cpu,cache,"cpu/event=0xd1,period=0xc365,umask=0x10/",,"Miss in mid-level (L2) cache. Excludes Unknown data-source  Supports address when precise.  Spec update: HSD29, HSM30 (Precise event)","Retired load uops missed L2. Unknown data source excluded  Supports address when precise.  Spec update: HSD29, HSM30 (Precise event)"
mem_load_uops_retired.l3_hit,,Kernel PMU event,cpu,cache,"cpu/event=0xd1,period=0xc365,umask=0x4/",,"Retired load uops which data sources were data hits in L3 without snoops required  Supports address when precise.  Spec update: HSD74, HSD29, HSD25, HSM26, HSM30 (Precise event)","Retired load uops with L3 cache hits as data sources  Supports address when precise.  Spec update: HSD74, HSD29, HSD25, HSM26, HSM30 (Precise event)"
mem_load_uops_retired.l3_miss,,Kernel PMU event,cpu,cache,"cpu/event=0xd1,period=0x186a3,umask=0x20/",,"Miss in last-level (L3) cache. Excludes Unknown data-source  Supports address when precise.  Spec update: HSD74, HSD29, HSD25, HSM26, HSM30 (Precise event)","Retired load uops missed L3. Excludes unknown data source   Supports address when precise.  Spec update: HSD74, HSD29, HSD25, HSM26, HSM30 (Precise event)"
mem_uops_retired.all_loads,,Kernel PMU event,cpu,cache,"cpu/event=0xd0,period=0x1e8483,umask=0x81/",,"Retired load uops  Supports address when precise.  Spec update: HSD29, HSM30 (Precise event)","Counts all retired load uops. This event accounts for SW prefetch uops of PREFETCHNTA or PREFETCHT0/1/2 or PREFETCHW  Supports address when precise.  Spec update: HSD29, HSM30 (Precise event)"
mem_uops_retired.all_stores,,Kernel PMU event,cpu,cache,"cpu/event=0xd0,period=0x1e8483,umask=0x82/",,"Retired store uops  Supports address when precise.  Spec update: HSD29, HSM30 (Precise event)","Counts all retired store uops  Supports address when precise.  Spec update: HSD29, HSM30 (Precise event)"
mem_uops_retired.lock_loads,,Kernel PMU event,cpu,cache,"cpu/event=0xd0,period=0x186a3,umask=0x21/",,"Retired load uops with locked access  Supports address when precise.  Spec update: HSD76, HSD29, HSM30 (Precise event)","Retired load uops with locked access  Supports address when precise.  Spec update: HSD76, HSD29, HSM30 (Precise event)"
mem_uops_retired.split_loads,,Kernel PMU event,cpu,cache,"cpu/event=0xd0,period=0x186a3,umask=0x41/",,"Retired load uops that split across a cacheline boundary  Supports address when precise.  Spec update: HSD29, HSM30 (Precise event)","Retired load uops that split across a cacheline boundary  Supports address when precise.  Spec update: HSD29, HSM30 (Precise event)"
mem_uops_retired.split_stores,,Kernel PMU event,cpu,cache,"cpu/event=0xd0,period=0x186a3,umask=0x42/",,"Retired store uops that split across a cacheline boundary  Supports address when precise.  Spec update: HSD29, HSM30 (Precise event)","Retired store uops that split across a cacheline boundary  Supports address when precise.  Spec update: HSD29, HSM30 (Precise event)"
mem_uops_retired.stlb_miss_loads,,Kernel PMU event,cpu,cache,"cpu/event=0xd0,period=0x186a3,umask=0x11/",,"Retired load uops that miss the STLB  Supports address when precise.  Spec update: HSD29, HSM30 (Precise event)","Retired load uops that miss the STLB  Supports address when precise.  Spec update: HSD29, HSM30 (Precise event)"
mem_uops_retired.stlb_miss_stores,,Kernel PMU event,cpu,cache,"cpu/event=0xd0,period=0x186a3,umask=0x12/",,"Retired store uops that miss the STLB  Supports address when precise.  Spec update: HSD29, HSM30 (Precise event)","Retired store uops that miss the STLB  Supports address when precise.  Spec update: HSD29, HSM30 (Precise event)"
offcore_requests.all_data_rd,,Kernel PMU event,cpu,cache,"cpu/event=0xb0,period=0x186a3,umask=0x8/",,Demand and prefetch data reads,Data read requests sent to uncore (demand and prefetch)
offcore_requests.demand_code_rd,,Kernel PMU event,cpu,cache,"cpu/event=0xb0,period=0x186a3,umask=0x2/",,Cacheable and noncacheable code read requests,Demand code read requests sent to uncore
offcore_requests.demand_data_rd,,Kernel PMU event,cpu,cache,"cpu/event=0xb0,period=0x186a3,umask=0x1/",,"Demand Data Read requests sent to uncore  Spec update: HSD78, HSM80","Demand data read requests sent to uncore  Spec update: HSD78, HSM80"
offcore_requests.demand_rfo,,Kernel PMU event,cpu,cache,"cpu/event=0xb0,period=0x186a3,umask=0x4/",,"Demand RFO requests including regular RFOs, locks, ItoM","Demand RFO read requests sent to uncore, including regular RFOs, locks, ItoM"
offcore_requests_buffer.sq_full,,Kernel PMU event,cpu,cache,"cpu/event=0xb2,period=0x1e8483,umask=0x1/",,Offcore requests buffer cannot take more entries for this thread core,Offcore requests buffer cannot take more entries for this thread core
offcore_requests_outstanding.all_data_rd,,Kernel PMU event,cpu,cache,"cpu/event=0x60,period=0x1e8483,umask=0x8/",,"Offcore outstanding cacheable Core Data Read transactions in SuperQueue (SQ), queue to uncore  Spec update: HSD62, HSD61, HSM63","Offcore outstanding cacheable data read transactions in SQ to uncore. Set Cmask=1 to count cycles  Spec update: HSD62, HSD61, HSM63"
offcore_requests_outstanding.cycles_with_data_rd,,Kernel PMU event,cpu,cache,"cpu/event=0x60,cmask=0x1,period=0x1e8483,umask=0x8/",,"Cycles when offcore outstanding cacheable Core Data Read transactions are present in SuperQueue (SQ), queue to uncore  Spec update: HSD62, HSD61, HSM63","Cycles when offcore outstanding cacheable Core Data Read transactions are present in SuperQueue (SQ), queue to uncore  Spec update: HSD62, HSD61, HSM63"
offcore_requests_outstanding.cycles_with_demand_data_rd,,Kernel PMU event,cpu,cache,"cpu/event=0x60,cmask=0x1,period=0x1e8483,umask=0x1/",,"Cycles when offcore outstanding Demand Data Read transactions are present in SuperQueue (SQ), queue to uncore  Spec update: HSD78, HSD62, HSD61, HSM63, HSM80","Cycles when offcore outstanding Demand Data Read transactions are present in SuperQueue (SQ), queue to uncore  Spec update: HSD78, HSD62, HSD61, HSM63, HSM80"
offcore_requests_outstanding.cycles_with_demand_rfo,,Kernel PMU event,cpu,cache,"cpu/event=0x60,cmask=0x1,period=0x1e8483,umask=0x4/",,"Offcore outstanding demand rfo reads transactions in SuperQueue (SQ), queue to uncore, every cycle  Spec update: HSD62, HSD61, HSM63","Offcore outstanding demand rfo reads transactions in SuperQueue (SQ), queue to uncore, every cycle  Spec update: HSD62, HSD61, HSM63"
offcore_requests_outstanding.demand_code_rd,,Kernel PMU event,cpu,cache,"cpu/event=0x60,period=0x1e8483,umask=0x2/",,"Offcore outstanding code reads transactions in SuperQueue (SQ), queue to uncore, every cycle  Spec update: HSD62, HSD61, HSM63","Offcore outstanding Demand code Read transactions in SQ to uncore. Set Cmask=1 to count cycles  Spec update: HSD62, HSD61, HSM63"
offcore_requests_outstanding.demand_data_rd,,Kernel PMU event,cpu,cache,"cpu/event=0x60,period=0x1e8483,umask=0x1/",,"Offcore outstanding Demand Data Read transactions in uncore queue  Spec update: HSD78, HSD62, HSD61, HSM63, HSM80","Offcore outstanding demand data read transactions in SQ to uncore. Set Cmask=1 to count cycles  Spec update: HSD78, HSD62, HSD61, HSM63, HSM80"
offcore_requests_outstanding.demand_data_rd_ge_6,,Kernel PMU event,cpu,cache,"cpu/event=0x60,cmask=0x6,period=0x1e8483,umask=0x1/",,"Cycles with at least 6 offcore outstanding Demand Data Read transactions in uncore queue  Spec update: HSD78, HSD62, HSD61, HSM63, HSM80","Cycles with at least 6 offcore outstanding Demand Data Read transactions in uncore queue  Spec update: HSD78, HSD62, HSD61, HSM63, HSM80"
offcore_requests_outstanding.demand_rfo,,Kernel PMU event,cpu,cache,"cpu/event=0x60,period=0x1e8483,umask=0x4/",,"Offcore outstanding RFO store transactions in SuperQueue (SQ), queue to uncore  Spec update: HSD62, HSD61, HSM63","Offcore outstanding RFO store transactions in SQ to uncore. Set Cmask=1 to count cycles  Spec update: HSD62, HSD61, HSM63"
offcore_response,,Kernel PMU event,cpu,cache,"cpu/event=0xb7,period=0x186a3,umask=0x1/",,"Offcore response can be programmed only with a specific pair of event select and counter MSR, and with specific event codes and predefine mask bit value in a dedicated MSR to specify attributes of the offcore transaction","Offcore response can be programmed only with a specific pair of event select and counter MSR, and with specific event codes and predefine mask bit value in a dedicated MSR to specify attributes of the offcore transaction"
offcore_response.all_code_rd.llc_hit.hit_other_core_no_fwd,,Kernel PMU event,cpu,cache,"cpu/event=0xb7,period=0x186a3,umask=0x1,offcore_rsp=0x3c0244/",,Counts all demand & prefetch code reads hit in the L3 and the snoops to sibling cores hit in either E/S state and the line is not forwarded,Counts all demand & prefetch code reads hit in the L3 and the snoops to sibling cores hit in either E/S state and the line is not forwarded
